,link,valor,condominio,iptu,quartos,tamanho,vagas,banheiros,andar,mobilia,bairro,latitude,longitude,região
132,https://www.quintoandar.com.br/imovel/894292081/comprar/apartamento-2-quartos-jardim-do-lago-campinas,250.0,300.0,67.0,2,48,1,1,8° a 11° andar,Sem mobília,jardim do lago campinas,-22.9354499,-47.0861823,0
133,https://www.quintoandar.com.br/imovel/893225934/comprar/apartamento-3-quartos-jardim-garcia-campinas,260.0,490.0,56.0,3,70,1,1,Até 3° andar,Sem mobília,jardim garcia campinas,-22.9062244,-47.1109763,0
134,https://www.quintoandar.com.br/imovel/894282849/comprar/apartamento-2-quartos-vila-industrial-campinas-campinas,250.0,740.0,53.0,2,66,1,1,Até 3° andar,Sem mobília,vila industrial campinas campinas,-22.9129305,-47.0785671,2
135,https://www.quintoandar.com.br/imovel/894164200/comprar/apartamento-2-quartos-vila-industrial-campinas-campinas,375.0,420.0,0.0,2,60,1,1,8° a 11° andar,Sem mobília,vila industrial campinas campinas,-22.9110704,-47.0616003,2
136,https://www.quintoandar.com.br/imovel/894161766/comprar/apartamento-2-quartos-bonfim-campinas,375.0,320.0,90.0,2,57,1,2,8° a 11° andar,Sem mobília,bonfim campinas,-22.9016106,-47.0772544,2
137,https://www.quintoandar.com.br/imovel/893972659/comprar/apartamento-2-quartos-jardim-antonio-von-zuben-campinas,254.0,250.0,21.0,2,51,1,1,Até 3° andar,Sem mobília,jardim antonio von zuben campinas,-22.9517248,-47.0257161,1
138,https://www.quintoandar.com.br/imovel/894450655/comprar/apartamento-2-quartos-jardim-garcia-campinas,260.0,310.0,0.0,2,43,1,1,Até 3° andar,Sem mobília,jardim garcia campinas,-22.9103342,-47.1089132,0
139,https://www.quintoandar.com.br/imovel/893551446/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,280.0,330.0,42.0,2,51,1,1,Até 3° andar,Sem mobília,jardim nova europa campinas,-22.9304843,-47.0571426,1
140,https://www.quintoandar.com.br/imovel/894383567/comprar/apartamento-3-quartos-vila-jequitibas-campinas,398.0,746.0,66.0,3,116,1,2,8° a 11° andar,Sem mobília,vila jequitibas campinas,-22.9107219,-47.0486681,2
141,https://www.quintoandar.com.br/imovel/894268938/comprar/apartamento-3-quartos-vila-anhanguera-campinas,365.0,670.0,69.0,3,40,1,2,Até 3° andar,Sem mobília,vila anhanguera campinas,-22.91794,-47.086915,0
142,https://www.quintoandar.com.br/imovel/892970800/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,206.0,360.0,34.0,2,52,1,1,Até 3° andar,Sem mobília,jardim nova europa campinas,-22.9461274,-47.0570953,1
143,https://www.quintoandar.com.br/imovel/894421883/comprar/apartamento-2-quartos-botafogo-campinas,220.0,650.0,25.0,2,51,1,1,4° a 7° andar,Sem mobília,botafogo campinas,-22.9015451,-47.0640755,2
144,https://www.quintoandar.com.br/imovel/893450536/comprar/apartamento-3-quartos-jardim-brasil-campinas,350.0,770.0,80.0,3,97,1,1,4° a 7° andar,Sem mobília,jardim brasil campinas,-22.8826741,-47.0658843,2
145,https://www.quintoandar.com.br/imovel/894148455/comprar/apartamento-2-quartos-jardim-anton-von-zuben-campinas,240.0,420.0,43.0,2,47,1,1,Até 3° andar,Sem mobília,jardim anton von zuben campinas,-22.9521389,-47.0251811,1
146,https://www.quintoandar.com.br/imovel/894268577/comprar/apartamento-2-quartos-vila-industrial-campinas,320.0,390.0,72.0,2,75,1,1,Até 3° andar,Sem mobília,vila industrial campinas,-22.9125884,-47.0793349,2
147,https://www.quintoandar.com.br/imovel/894394637/comprar/apartamento-2-quartos-botafogo-campinas,280.0,600.0,80.0,2,66,1,2,Até 3° andar,Sem mobília,botafogo campinas,-22.8991082,-47.075653,2
